=== run325A ===
1 0.210631 200
2 0.041723 200
3 0.134155 200
4 0.228993 200
5 0.169226 200
6 0.277641 200
7 0.065522 200
8 0.185682 200
9 0.223346 200
10 0.223359 200
11 0.066288 200
12 0.132412 200
13 0.108283 200
14 0.057951 200
15 0.046678 200
16 1.594134 200
17 0.276322 200
18 0.051445 200
19 0.245995 200
20 0.181116 200
=== run325B ===
1 0.189820 200
2 0.201128 200
3 0.066673 200
4 0.117359 200
5 0.235029 200
6 0.053991 200
7 0.101810 200
8 0.130255 200
9 0.216272 200
10 0.231345 200
11 0.333522 200
12 0.156249 200
13 0.054919 200
14 0.298612 200
15 0.183951 200
16 0.089824 200
17 0.286891 200
18 0.137972 200
19 0.037549 200
20 0.083948 200
=== run325C ===
1 0.221708 200
2 0.060677 200
3 0.267026 200
4 0.237522 200
5 0.248890 200
6 0.040661 200
7 0.110100 200
8 0.178424 200
9 0.142319 200
10 0.076641 200
11 0.279978 200
12 0.143464 200
13 0.134796 200
14 0.280846 200
15 0.171526 200
16 0.236123 200
17 0.208176 200
18 0.243497 200
19 0.188069 200
20 0.233600 200
=== control-signup ===
1 0.216476 200
2 0.211043 200
3 0.079720 200
4 0.074375 200
5 0.276827 200
6 0.188261 200
7 0.140287 200
8 0.230723 200
9 0.142927 200
10 0.232052 200
11 0.224913 200
12 0.058449 200
13 0.166961 200
14 0.115843 200
15 0.236643 200
16 0.083453 200
17 0.103556 200
18 0.222241 200
19 0.042721 200
20 0.125508 200
DONE
