=== run326A ===
1 0.118723 200
2 0.058297 200
3 0.071831 200
4 0.061285 200
5 0.073342 200
6 0.134328 200
7 0.057288 200
8 0.046882 200
9 1.531120 200
10 0.072803 200
11 0.055627 200
12 0.059804 200
13 0.053719 200
14 0.824437 200
15 0.193662 200
16 0.070300 200
17 0.056131 200
18 0.105607 200
19 0.060017 200
20 0.044304 200
=== run326B ===
1 0.174438 200
2 0.217557 200
3 0.191583 200
4 0.156806 200
5 0.040053 200
6 0.045855 200
7 0.055694 200
8 0.079870 200
9 0.040301 200
10 0.050957 200
11 0.053161 200
12 0.061405 200
13 0.046509 200
14 0.053845 200
15 0.059620 200
16 0.099109 200
17 0.104433 200
18 0.050474 200
19 0.039857 200
20 0.104954 200
=== run326C ===
1 0.064584 200
2 0.089038 200
3 0.086417 200
4 0.059555 200
5 0.083161 200
6 0.049906 200
7 0.071791 200
8 0.054865 200
9 0.053262 200
10 0.040992 200
11 0.120785 200
12 0.132828 200
13 0.077552 200
14 0.042238 200
15 0.041151 200
16 0.055791 200
17 0.042250 200
18 0.072966 200
19 0.058199 200
20 0.052934 200
=== control-signup ===
1 0.124329 200
2 0.060504 200
3 0.126162 200
4 0.042429 200
5 0.075570 200
6 0.039695 200
7 0.064541 200
8 0.052688 200
9 0.044892 200
10 0.083628 200
11 0.043543 200
12 0.049929 200
13 0.045967 200
14 0.046694 200
15 0.040178 200
16 0.042208 200
17 0.056509 200
18 0.037394 200
19 0.045317 200
20 0.040150 200
DONE
