SET A
000 0.244604
000 0.018509
000 0.000099
000 0.026382
000 0.021372
000 0.000052
000 0.042364
000 0.005126
000 0.000044
000 0.111202
000 0.003779
000 0.003722
000 0.002091
000 0.029278
000 0.006980
000 0.005099
000 0.008336
000 0.021916
000 0.006953
000 0.007116
SET B
000 0.041181
000 0.000121
000 0.030114
000 0.025420
000 0.054214
000 0.001516
000 0.127416
000 0.011047
000 0.055907
000 0.143483
000 0.010729
000 0.007468
000 0.006399
000 0.006041
000 0.015625
000 0.099468
000 0.011884
000 0.075159
000 0.024370
000 0.101077
SET C
000 0.012534
000 0.017546
000 0.005156
000 0.005954
000 0.195600
000 0.088628
000 0.120691
000 0.002330
000 0.007246
000 0.005839
000 0.040284
000 0.005027
000 0.003464
000 0.008406
000 0.006960
000 0.007396
000 0.014426
000 0.007486
000 0.016135
000 0.002642
CONTROL landing /
200 0.199658
200 0.211304
200 0.172153
200 0.068065
200 0.192918
200 0.136546
200 0.160987
200 0.224924
200 0.314452
200 0.273096
200 0.445061
200 0.196297
200 0.236077
200 0.242415
200 0.363244
200 0.307659
200 0.225465
200 0.250223
200 0.230421
200 0.256285
07:10:36 JST
 7:10  up 23:53, 11 users, load averages: 107.69 81.12 65.62
