SET A
200 0.221591
200 0.284414
200 0.200363
200 0.292873
200 0.248343
200 0.370011
200 0.322572
200 0.333229
200 0.412295
200 0.403662
200 0.239928
200 0.215537
200 0.403762
200 0.324731
200 0.312850
200 0.588857
200 0.270901
200 0.261706
200 0.220636
200 0.283329
SET B
200 0.277672
200 0.361454
200 0.221877
200 0.462191
200 0.389162
200 0.449001
200 0.583016
200 0.537294
200 0.453948
200 0.423692
200 0.209674
200 0.293445
200 0.064057
200 0.259616
200 0.233457
200 0.221437
200 0.267900
200 0.127904
200 0.209659
200 0.214852
SET C
200 0.203594
200 0.124757
200 0.299177
200 0.295249
200 0.231042
200 0.153217
200 0.176182
200 0.298919
200 0.206719
200 0.606646
200 0.222981
200 0.173471
200 0.257707
200 0.317717
200 0.254968
200 0.186841
200 0.188441
200 0.250568
200 0.304370
200 0.172335
07:12:43 JST
