=== 202A ===
202A 1 200 0.175778
202A 2 200 0.063761
202A 3 200 0.048592
202A 4 200 1.020221
202A 5 200 0.937633
202A 6 200 0.041822
202A 7 200 1.038079
202A 8 200 0.042183
202A 9 200 0.037173
202A 10 200 0.045658
202A 11 200 0.050806
202A 12 200 0.049212
202A 13 200 0.858150
202A 14 200 0.046926
202A 15 200 0.050552
202A 16 200 0.065537
202A 17 200 0.036571
202A 18 200 0.034716
202A 19 200 0.041085
202A 20 200 0.041123
=== 202B ===
202B 1 200 0.035306
202B 2 200 0.037325
202B 3 200 0.042551
202B 4 200 0.040316
202B 5 200 0.054232
202B 6 200 0.047783
202B 7 200 0.035526
202B 8 200 0.040923
202B 9 200 0.038919
202B 10 200 0.041113
202B 11 200 0.060988
202B 12 200 0.036798
202B 13 200 0.048372
202B 14 200 0.037793
202B 15 200 0.036619
202B 16 200 0.036036
202B 17 200 0.038256
202B 18 200 0.034279
202B 19 200 0.039886
202B 20 200 0.044807
=== 202C ===
202C 1 200 0.033780
202C 2 200 0.043054
202C 3 200 0.054013
202C 4 200 0.036226
202C 5 200 0.055940
202C 6 200 0.035370
202C 7 200 0.038873
202C 8 200 0.039049
202C 9 200 0.032523
202C 10 200 0.035688
202C 11 200 0.038471
202C 12 200 0.045592
202C 13 200 0.089445
202C 14 200 0.040907
202C 15 200 0.043732
202C 16 200 0.033778
202C 17 200 0.049818
202C 18 200 0.031910
202C 19 200 0.054210
202C 20 200 0.035362
=== CTRL ===
CTRL 1 200 0.047373
CTRL 2 200 0.063749
CTRL 3 200 0.045047
CTRL 4 200 0.044474
CTRL 5 200 0.095738
CTRL 6 200 0.050474
CTRL 7 200 0.054614
CTRL 8 200 0.259144
CTRL 9 200 0.052670
CTRL 10 200 0.068329
CTRL 11 200 0.051057
CTRL 12 200 0.060949
CTRL 13 200 0.068933
CTRL 14 200 0.049519
CTRL 15 200 0.051019
CTRL 16 200 0.238763
CTRL 17 200 0.062079
CTRL 18 200 0.046796
CTRL 19 200 0.052187
CTRL 20 200 0.046559
DONE
Sun Sep  6 10:02:05 JST 2026
