Sat Sep  5 18:46:40 JST 2026
=== run161A search ===
161A 1 0.131201 200
161A 2 0.060756 200
161A 3 0.058723 200
161A 4 0.061995 200
161A 5 0.071680 200
161A 6 0.076998 200
161A 7 0.107955 200
161A 8 0.054189 200
161A 9 0.055516 200
161A 10 0.045587 200
161A 11 0.152656 200
161A 12 0.040838 200
161A 13 0.040665 200
161A 14 0.037833 200
161A 15 0.044473 200
161A 16 0.044921 200
161A 17 0.042625 200
161A 18 0.045081 200
161A 19 0.073977 200
161A 20 1.016673 200
=== run161B search ===
161B 1 0.043555 200
161B 2 0.039551 200
161B 3 0.039560 200
161B 4 0.034118 200
161B 5 0.045078 200
161B 6 0.044661 200
161B 7 0.052601 200
161B 8 0.037600 200
161B 9 0.031224 200
161B 10 0.040721 200
161B 11 0.032992 200
161B 12 0.045324 200
161B 13 0.037393 200
161B 14 0.036847 200
161B 15 0.040746 200
161B 16 0.034320 200
161B 17 0.036450 200
161B 18 0.033714 200
161B 19 0.104311 200
161B 20 0.078709 200
=== run161C search ===
161C 1 0.136167 200
161C 2 0.053560 200
161C 3 0.038753 200
161C 4 0.051627 200
161C 5 0.059450 200
161C 6 0.050246 200
161C 7 0.040460 200
161C 8 0.133822 200
161C 9 0.070650 200
161C 10 0.039668 200
161C 11 0.042823 200
161C 12 0.054590 200
161C 13 0.065671 200
161C 14 0.067129 200
161C 15 0.038695 200
161C 16 0.035420 200
161C 17 0.030154 200
161C 18 0.043184 200
161C 19 0.052266 200
161C 20 0.041615 200
=== landing control ===
LC 1 0.317817 200
LC 2 0.055022 200
LC 3 0.111307 200
LC 4 0.044775 200
LC 5 0.047004 200
LC 6 0.043583 200
LC 7 0.051686 200
LC 8 0.106220 200
LC 9 0.051929 200
LC 10 0.072364 200
LC 11 0.067535 200
LC 12 0.042023 200
LC 13 0.038247 200
LC 14 0.042845 200
LC 15 0.040546 200
LC 16 0.052649 200
LC 17 0.052836 200
LC 18 0.043865 200
LC 19 0.043724 200
LC 20 0.049253 200
Sat Sep  5 18:46:49 JST 2026
