Sat Sep  5 19:45:56 JST 2026
19:45  up 12:28, 15 users, load averages: 28.09 40.38 39.56
=== run166A search ===
166A 1 0.072594 200
166A 2 0.044069 200
166A 3 0.048303 200
166A 4 0.062905 200
166A 5 0.045134 200
166A 6 0.047240 200
166A 7 0.046902 200
166A 8 0.044389 200
166A 9 0.042007 200
166A 10 0.036343 200
166A 11 0.039404 200
166A 12 0.036765 200
166A 13 0.040079 200
166A 14 0.036990 200
166A 15 0.036122 200
166A 16 0.041530 200
166A 17 0.044653 200
166A 18 0.879340 200
166A 19 0.049163 200
166A 20 0.046782 200
=== run166B search ===
166B 1 0.042154 200
166B 2 0.044305 200
166B 3 0.045988 200
166B 4 0.039439 200
166B 5 0.037704 200
166B 6 0.057231 200
166B 7 0.040082 200
166B 8 0.042313 200
166B 9 0.047014 200
166B 10 0.034584 200
166B 11 0.052212 200
166B 12 0.060296 200
166B 13 0.050471 200
166B 14 0.037459 200
166B 15 0.041174 200
166B 16 0.048647 200
166B 17 0.034942 200
166B 18 0.037529 200
166B 19 0.036005 200
166B 20 0.047350 200
=== run166C search ===
166C 1 0.035273 200
166C 2 0.035773 200
166C 3 0.051799 200
166C 4 0.042938 200
166C 5 0.037207 200
166C 6 0.033777 200
166C 7 0.051865 200
166C 8 0.065290 200
166C 9 0.064698 200
166C 10 0.044439 200
166C 11 0.040482 200
166C 12 0.040560 200
166C 13 0.036994 200
166C 14 0.041087 200
166C 15 0.068278 200
166C 16 0.045481 200
166C 17 0.032523 200
166C 18 0.039127 200
166C 19 0.041688 200
166C 20 0.050195 200
=== landing control ===
LC 1 0.072060 200
LC 2 0.101355 200
LC 3 0.058871 200
LC 4 0.053782 200
LC 5 0.047158 200
LC 6 0.066113 200
LC 7 0.039046 200
LC 8 0.044290 200
LC 9 0.052111 200
LC 10 0.057250 200
LC 11 0.065734 200
LC 12 0.054744 200
LC 13 0.063281 200
LC 14 0.060467 200
LC 15 0.046229 200
LC 16 0.276810 200
LC 17 0.054359 200
LC 18 0.061607 200
LC 19 0.046865 200
LC 20 0.039021 200
Sat Sep  5 19:46:03 JST 2026
