Sat Sep  5 22:56:15 JST 2026
22:56  up 15:39, 15 users, load averages: 8.94 18.91 35.10
=== run175A search ===
175A 1 0.203109 200
175A 2 0.036819 200
175A 3 0.040382 200
175A 4 0.039261 200
175A 5 0.043579 200
175A 6 0.040886 200
175A 7 0.038121 200
175A 8 0.039250 200
175A 9 0.088761 200
175A 10 0.037837 200
175A 11 0.065016 200
175A 12 0.038307 200
175A 13 0.042425 200
175A 14 0.044272 200
175A 15 0.046077 200
175A 16 0.071598 200
175A 17 0.040827 200
175A 18 0.092063 200
175A 19 0.069875 200
175A 20 0.040374 200
=== run175B search ===
175B 1 0.041491 200
175B 2 0.042252 200
175B 3 0.052798 200
175B 4 0.040903 200
175B 5 0.043933 200
175B 6 0.038801 200
175B 7 0.032440 200
175B 8 0.039426 200
175B 9 0.035747 200
175B 10 0.033833 200
175B 11 0.044517 200
175B 12 0.037911 200
175B 13 0.039121 200
175B 14 0.038574 200
175B 15 0.052002 200
175B 16 0.039804 200
175B 17 0.042037 200
175B 18 0.043011 200
175B 19 0.046861 200
175B 20 0.039937 200
=== run175C search ===
175C 1 0.036224 200
175C 2 0.049536 200
175C 3 0.040815 200
175C 4 0.053712 200
175C 5 0.038718 200
175C 6 0.036102 200
175C 7 0.041881 200
175C 8 0.050457 200
175C 9 0.032889 200
175C 10 0.054773 200
175C 11 0.039557 200
175C 12 0.047135 200
175C 13 0.036411 200
175C 14 0.039034 200
175C 15 0.047327 200
175C 16 0.041789 200
175C 17 0.039221 200
175C 18 0.041123 200
175C 19 0.039351 200
175C 20 0.037751 200
=== landing control ===
LC 1 0.062075 200
LC 2 0.050876 200
LC 3 0.051027 200
LC 4 0.039363 200
LC 5 0.044492 200
LC 6 0.065624 200
LC 7 0.041314 200
LC 8 0.047226 200
LC 9 0.061547 200
LC 10 0.047690 200
LC 11 0.051911 200
LC 12 0.060808 200
LC 13 0.041773 200
LC 14 0.077941 200
LC 15 0.045481 200
LC 16 0.044245 200
LC 17 0.051283 200
LC 18 0.046356 200
LC 19 0.041633 200
LC 20 0.044539 200
Sat Sep  5 22:56:20 JST 2026
