Sat Sep  5 06:28:01 JST 2026
=== run116A search ===
116A 1 0.081292 200
116A 2 0.046464 200
116A 3 0.778887 200
116A 4 0.051355 200
116A 5 0.041660 200
116A 6 0.048151 200
116A 7 0.049410 200
116A 8 0.056054 200
116A 9 0.050953 200
116A 10 0.048612 200
116A 11 0.051279 200
116A 12 0.042827 200
116A 13 0.041842 200
116A 14 0.038517 200
116A 15 0.039590 200
116A 16 0.045203 200
116A 17 0.040460 200
116A 18 0.037386 200
116A 19 0.048464 200
116A 20 0.052448 200
=== run116B search ===
116B 1 0.048378 200
116B 2 0.043566 200
116B 3 0.049833 200
116B 4 0.045501 200
116B 5 0.040247 200
116B 6 0.045928 200
116B 7 0.040220 200
116B 8 0.040661 200
116B 9 0.041483 200
116B 10 0.042346 200
116B 11 0.041980 200
116B 12 0.040563 200
116B 13 0.045953 200
116B 14 0.042771 200
116B 15 0.038267 200
116B 16 0.039281 200
116B 17 0.040094 200
116B 18 0.064677 200
116B 19 0.049016 200
116B 20 0.047707 200
=== run116C search ===
116C 1 0.039129 200
116C 2 0.037362 200
116C 3 0.049663 200
116C 4 0.039315 200
116C 5 0.042322 200
116C 6 0.042293 200
116C 7 0.039602 200
116C 8 0.045491 200
116C 9 0.040561 200
116C 10 0.044752 200
116C 11 0.036443 200
116C 12 0.040730 200
116C 13 0.037231 200
116C 14 0.040050 200
116C 15 0.040386 200
116C 16 0.044398 200
116C 17 0.038271 200
116C 18 0.038865 200
116C 19 0.043288 200
116C 20 0.040429 200
=== landing control ===
LC 1 0.040550 200
LC 2 0.053428 200
LC 3 0.041182 200
LC 4 0.042734 200
LC 5 0.043122 200
LC 6 0.040635 200
LC 7 0.041602 200
LC 8 0.052438 200
LC 9 0.040066 200
LC 10 0.064789 200
LC 11 0.042123 200
LC 12 0.060317 200
LC 13 0.054093 200
LC 14 0.056021 200
LC 15 0.059390 200
LC 16 0.045331 200
LC 17 0.090059 200
LC 18 0.047191 200
LC 19 0.053050 200
LC 20 0.050335 200
Sat Sep  5 06:28:07 JST 2026
