Sat Sep  5 20:18:10 JST 2026
20:18  up 13:01, 15 users, load averages: 43.56 30.81 39.47
=== run167A search ===
167A 1 0.153485 200
167A 2 0.091017 200
167A 3 0.301100 200
167A 4 0.154616 200
167A 5 0.197546 200
167A 6 0.148623 200
167A 7 0.237364 200
167A 8 0.159574 200
167A 9 0.076574 200
167A 10 0.139860 200
167A 11 0.185622 200
167A 12 0.091669 200
167A 13 0.190872 200
167A 14 0.124027 200
167A 15 0.252376 200
167A 16 0.085396 200
167A 17 0.105058 200
167A 18 0.088692 200
167A 19 0.098688 200
167A 20 0.242170 200
=== run167B search ===
167B 1 0.187987 200
167B 2 0.157064 200
167B 3 0.262629 200
167B 4 0.069684 200
167B 5 0.067245 200
167B 6 0.147793 200
167B 7 0.157773 200
167B 8 0.149378 200
167B 9 0.309968 200
167B 10 0.067701 200
167B 11 0.061201 200
167B 12 0.078987 200
167B 13 0.048360 200
167B 14 0.135946 200
167B 15 0.074214 200
167B 16 0.043117 200
167B 17 0.046456 200
167B 18 0.066530 200
167B 19 0.034912 200
167B 20 0.092372 200
=== run167C search ===
167C 1 0.065478 200
167C 2 0.192551 200
167C 3 0.052230 200
167C 4 0.041982 200
167C 5 0.117671 200
167C 6 0.191810 200
167C 7 0.186523 200
167C 8 0.477267 200
167C 9 0.047760 200
167C 10 0.061535 200
167C 11 0.049813 200
167C 12 0.271116 200
167C 13 0.082497 200
167C 14 0.183392 200
167C 15 0.050651 200
167C 16 0.043138 200
167C 17 0.198301 200
167C 18 0.116716 200
167C 19 0.046050 200
167C 20 0.134660 200
=== landing control ===
LC 1 0.136523 200
LC 2 0.143593 200
LC 3 0.056464 200
LC 4 0.228230 200
LC 5 0.221691 200
LC 6 0.049616 200
LC 7 0.191408 200
LC 8 0.096089 200
LC 9 0.088025 200
LC 10 0.073386 200
LC 11 0.168744 200
LC 12 0.042114 200
LC 13 0.064204 200
LC 14 0.119727 200
LC 15 0.052562 200
LC 16 0.238189 200
LC 17 0.059322 200
LC 18 0.118804 200
LC 19 0.207620 200
LC 20 0.210830 200
Sat Sep  5 20:18:33 JST 2026
