Sat Sep  5 21:43:45 JST 2026
21:43  up 14:26, 15 users, load averages: 6.99 19.77 47.41
=== run171A search ===
171A 1 0.056104 200
171A 2 0.057416 200
171A 3 0.983716 200
171A 4 0.996606 200
171A 5 0.040874 200
171A 6 0.055503 200
171A 7 0.040835 200
171A 8 0.057723 200
171A 9 0.979326 200
171A 10 0.038554 200
171A 11 0.041412 200
171A 12 0.039352 200
171A 13 0.042317 200
171A 14 0.036889 200
171A 15 0.066507 200
171A 16 0.050028 200
171A 17 0.053593 200
171A 18 0.068769 200
171A 19 0.064582 200
171A 20 0.056707 200
=== run171B search ===
171B 1 0.051641 200
171B 2 0.056384 200
171B 3 0.052912 200
171B 4 0.049012 200
171B 5 0.042891 200
171B 6 0.039659 200
171B 7 0.043351 200
171B 8 0.953041 200
171B 9 0.063224 200
171B 10 0.044167 200
171B 11 0.045868 200
171B 12 0.054068 200
171B 13 0.038125 200
171B 14 0.037868 200
171B 15 0.050763 200
171B 16 0.042975 200
171B 17 0.052324 200
171B 18 0.097499 200
171B 19 0.037834 200
171B 20 0.069809 200
=== run171C search ===
171C 1 0.037313 200
171C 2 0.043531 200
171C 3 0.073728 200
171C 4 0.038720 200
171C 5 0.034065 200
171C 6 0.047944 200
171C 7 0.036506 200
171C 8 0.042686 200
171C 9 0.051144 200
171C 10 0.066946 200
171C 11 0.049063 200
171C 12 0.038035 200
171C 13 0.048156 200
171C 14 0.055582 200
171C 15 0.041015 200
171C 16 0.043595 200
171C 17 0.036817 200
171C 18 0.035514 200
171C 19 0.036652 200
171C 20 0.039534 200
=== landing control ===
LC 1 0.043253 200
LC 2 0.054264 200
LC 3 0.045742 200
LC 4 0.055353 200
LC 5 0.438862 200
LC 6 0.044752 200
LC 7 0.055936 200
LC 8 0.317057 200
LC 9 0.050996 200
LC 10 0.056058 200
LC 11 0.042093 200
LC 12 0.045275 200
LC 13 0.055808 200
LC 14 0.049186 200
LC 15 0.048004 200
LC 16 0.055349 200
LC 17 0.044342 200
LC 18 0.041833 200
LC 19 0.047943 200
LC 20 0.048128 200
Sat Sep  5 21:43:55 JST 2026
